Date : 2026-02-17 00:31:24
Directory : c:\Users\nagar\Desktop\meetsy\NexAI\next-ai
Total : 54 files,  3816 codes, 70 comments, 990 blanks, all 4876 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\components\landing\pricing-section.tsx       | TypeScript JSX     |         15 |          0 |          2 |         17 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\components\landing\section-heading.tsx       | TypeScript JSX     |         14 |          0 |          1 |         15 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\components\layout\footer.tsx                 | TypeScript JSX     |         11 |          0 |          1 |         12 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\components\layout\header-wrapper.tsx         | TypeScript JSX     |          7 |          0 |          4 |         11 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\components\layout\header.tsx                 | TypeScript JSX     |         72 |          0 |          8 |         80 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\components\providers\query-provider.tsx      | TypeScript JSX     |         19 |          0 |          4 |         23 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\components\ui\avatar.tsx                     | TypeScript JSX     |         47 |          0 |          7 |         54 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\components\ui\badge.tsx                      | TypeScript JSX     |         41 |          0 |          6 |         47 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\components\ui\button.tsx                     | TypeScript JSX     |         57 |          0 |          6 |         63 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\components\ui\card.tsx                       | TypeScript JSX     |         83 |          0 |         12 |         95 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\components\ui\motion-div.tsx                 | TypeScript JSX     |         40 |          0 |          5 |         45 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\components\ui\skeleton.tsx                   | TypeScript JSX     |         11 |          0 |          3 |         14 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\components\ui\sonner.tsx                     | TypeScript JSX     |         36 |          0 |          5 |         41 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\components\ui\textarea.tsx                   | TypeScript JSX     |         15 |          1 |          5 |         21 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\components\ui\user-avatar.tsx                | TypeScript JSX     |         25 |          0 |          2 |         27 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\db\add-conversations.ts                      | TypeScript         |        127 |          8 |         27 |        162 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\db\index.ts                                  | TypeScript         |         21 |          0 |          8 |         29 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\db\query-user.ts                             | TypeScript         |         23 |          0 |          7 |         30 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\db\schema.ts                                 | TypeScript         |        158 |          1 |         16 |        175 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\db\seed.ts                                   | TypeScript         |        828 |         21 |         38 |        887 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\drizzle.config.ts                            | TypeScript         |         11 |          0 |          3 |         14 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\eslint.config.mjs                            | JavaScript         |         14 |          2 |          3 |         19 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\hooks\use-communities.ts                     | TypeScript         |         14 |          0 |          4 |         18 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\hooks\use-goals.ts                           | TypeScript         |         40 |          0 |          5 |         45 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\lib\api-client.ts                            | TypeScript         |          3 |          0 |          2 |          5 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\lib\user-utils.ts                            | TypeScript         |         57 |          1 |          9 |         67 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\lib\utils.ts                                 | TypeScript         |          5 |          0 |          1 |          6 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\next.config.ts                               | TypeScript         |          4 |          1 |          3 |          8 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\package.json                                 | JSON               |         57 |          0 |          1 |         58 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\postcss.config.mjs                           | JavaScript         |          6 |          0 |          2 |          8 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\proxy.ts                                     | TypeScript         |          8 |          2 |          3 |         13 |
| c:\Users\nagar\Desktop\meetsy\NexAI\next-ai\tsconfig.json                                | JSON with Comments |         34 |          0 |          1 |         35 |
| Total                                                                                    |                    |      3,816 |         70 |        990 |      4,876 |
+------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
